ACCE_ABSORB_COST	 я«бнЁ «бѕгћ: %d
MINI_GAME_GIVEUP_QUESTION	еб √д  г √яѕ гд √дя  —нѕ ≈бџ«Ѕ «ббЏ»…њ ”  ќбм Џд гя«Ё∆ я.
MINI_GAME_NOTICE_1	√дё— "—гн" бгЏ—Ё… «бб«Џ» «б–н ”н»ѕ√.
MINI_GAME_NOTICE_2	—гн Џ’н нж .
MINI_GAME_NOTICE_3	бёѕ ё«г «бЌ«”ж» »—гн Џ’н нж  бгЏ—Ё… «бб«Џ» «б–н ”н»ѕ√.
MINI_GAME_NOTICE_4	бёѕ Ќ’б «бЌ«”ж» Џбм «б—ёг «б√ёб жеж гд ”н»ѕ√.
MINI_GAME_NOTICE_5	»ёѕ Ќ’б  Џбм «б—ёг «б√ёб ж√д  гд ”н»ѕ√.
MINI_GAME_NOTICE_6	—гн я: %s.  Ќ—я %d ќ«д…/ќ«д«  ≈бм «б√г«г.
MINI_GAME_NOTICE_7	—гн я: %s. Џбня «бЏжѕ… ќ«д… ж«Ќѕ….
MINI_GAME_NOTICE_8	—гн…: %s
MINI_GAME_NOTICE_9	б«Џ» «бЌ«”ж» н Ќ—я «б¬д.
MINI_GAME_NOTICE_10	е«! бёѕ  џб»  Џбм «бЌ«”ж».
MINI_GAME_NOTICE_11	н« б”жЅ «бЌў! бёѕ  џб» Џбня «бЌ«”ж».
MINI_GAME_NOTICE_12	бёѕ Ќ’б  Џбм нж  √ж гж жнгядя «б—гн гд ћѕнѕ.
MINI_GAME_NOTICE_13	бёѕ ≈д е  «ббЏ»… √Ќ’б Џбм гя«Ё∆ я.
MINI_GAME_RUMI_DISCARD_QUESTION	еб  —нѕ Ќёш« Ќ–Ё е–е «бж—ё…њ
MINI_GAME_RUMI_EXIT_QUESTION	еб  —џ» Ён ≈де«Ѕ ћжб я ж«бЌ’жб Џбм ћ«∆“ яњ\n”н г »–бя  ’Ён— дё«Ўя жг« ≈бџ«Ѕ г«  »ём гд ж—ёя!
MINI_GAME_RUMI_START_QUESTION	Џбня ббг‘«—я… Ён «ббЏ» ѕЁЏ —”жг »ёнг… %d н«дџ. яг« √дя ” Ќ «ћ б№ %d Ўёг/Ўёжг ж—ё.\nеб  —нѕ »ѕ√ «ббЏ»њ
MINI_GAME_YUTNORI_COM_WIN	г—ш… нде“г Ёне« «бг—Ѕ жг—ш… нЁж“ «б¬ќ—жд.
MINI_GAME_YUTNORI_PC_WIN	ж≈бм «бгд ’—  –е» «бџд«∆г.
MINI_GAME_YUTNORI_PC_WIN_SCORE	«бд нћ…: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	—гн
MINI_GAME_YUTNORI_RETHROW_POPUP	гЌўжў! ≈де ѕж—я гћѕѕ«.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	б »ѕ√ нж дж—н°  Ќ «ћ ≈бм %d н«дџ ж≈бм %d бжЌ… бЏ» нж дж—н. \n «бЏ» «б¬дњ
MINUTE	ѕ
MISTS_ISLAND_BUFF_MSG_01	Ў«ё… +2
MISTS_ISLAND_BUFF_MSG_02	гЏѕб ≈”ё«Ў «б»джѕ +10%
MISTS_ISLAND_BUFF_MSG_03	ёж…° –я«Ѕ° Ќнжн…° гд«ж—… +3
MISTS_ISLAND_BUFF_MSG_04	гЏѕб ≈”ё«Ў «бн«дџ +10%
MISTS_ISLAND_BUFF_MSG_05	“н«ѕ… Џб«ж«  «б√“н«Ѕ »д”»… 3%
MISTS_ISLAND_INFO_01	г” ж«я г« “«б ÷ЏнЁр«.
MISTS_ISLAND_INFO_02	бн” бѕня н«дџ я«Ёт.
MISTS_ISLAND_INFO_03	б«  жћѕ гЏ—я… Ќ«бн….
MISTS_ISLAND_MSG_01	бёѕ  г  ѕгн— %s »ж«”Ў… %s!
MISTS_ISLAND_MSG_02	ё«г %s »џ“ж %s!
MISTS_ISLAND_MSG_03	бёѕ ё«г %s »≈Ќ б«б %s!
MISTS_ISLAND_MSG_04	бёѕ Ќ’б %s Џбм %s!
MISTS_ISLAND_MSG_05	бёѕ ё«г %s » Ўжн— %s ≈бм «бг” жм %d »дћ«Ќ!
MISTS_ISLAND_MSG_06	бёѕ ўе— %s Ён ”«Ќ… «бгЏ—я…!
MISTS_ISLAND_QUESTION_01	еб  —нѕ √д  џ«ѕ— гЏ—я… «б√÷—Ќ… «бќг”…њ
MISTS_ISLAND_QUESTION_02	еб  —џ» »«б≈д ё«б Ёж—« ≈бм «б÷—нЌ «б–н  Џ—÷ ббећжг гƒќ—р«њ \n «б”Џ—: %s н«дџ
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	≈Ќ б«б «б≈г»—«Ўж—н…: %s
MISTS_ISLAND_TOOLTIP_03	г” жм «б Ќ”нд: +%d
MISTS_ISLAND_TOOLTIP_04	Џб«ж… «б≈Ќ б«б: %s
MISTS_ISLAND_TOOLTIP_05	џ“ж «б√÷—Ќ…
MISTS_ISLAND_TOOLTIP_06	1. бб”нЎ—… Џбм ÷—нЌ° нћ» √жб« √д н г  ѕгн—е.
MISTS_ISLAND_TOOLTIP_07	2. «бггбя… «б н бѕне« √я»— Џѕѕ гд «бгё« бнд Ён гя«д ё—н» »Џѕ ѕёнё… ж«Ќѕ…° ” Ќ б «б÷—нЌ.
MISTS_ISLAND_TOOLTIP_08	3. »Џѕ 3 ѕё«∆ё° нўе— «б÷—нЌ »бжд «б≈г»—«Ўж—н… «б н ё«г  »џ“же.
MISTS_ISLAND_TOOLTIP_09	4. ябг« “«ѕ  гѕ… ”нЎ—  «б≈г»—«Ўж—н… дЁ”е« Џбм «б÷—нЌ° ябг« я«д гд «б’Џ» Џбм «б÷—нЌ  ѕгн— дЁ”е.
MONETARY_UNIT0	н«дџ
MONETARY_UNIT1	Џ‘—… √бЁ
MONETARY_UNIT2	г∆… гбнжд
MONEY_INPUT_DIALOG_SELLPRICE	”Џ— «б»нЏ:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	б« нгядя «бён«г »е–« гд Ёжё ѕ«»….
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	нгядя “н«ѕ… г” жм Ќ’«дя »гћ—ѕ ж’жбя ≈бм г” жм «б»Ўб.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	 Ќ «ћ ≈бм %d ЏбЁ «бЌ’«д ж %d н«дџ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	еб  —нѕ гЌ«жб… —ЁЏ г” жм Ќ’«дя ≈бм %dњ
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	б—ЁЏ г” жм «бЌ’«д «бќ«’ »я  Ќ «ћ ≈бм %d ЏбЁ «бЌ’«д° %d џ«н« ж %d н«дџ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	бн” бѕня г« няЁн гд «бџ«н«.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Ё‘б Ён —ЁЏ г” жм «бЌ’«д
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	 г —ЁЏ г” жм «бЌ’«д ≈бм %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	бн” бѕня г« няЁн гд ЏбЁ «бЌ’«д √ж «бн«дџ.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	«бг” жм «б «бн: %d («б√ё’м %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	≈бџ«Ѕ
MOVE_CHANNEL_NOTICE	√д  г ’бр« »«бёд«… %d.
MOVE_CHANNEL_NOT_MOVE	б« нгядя  џнн— ёд« я.
MOVE_CHANNEL_SELECT	гж«Ёё
MOVE_CHANNEL_TITLE	«ќ н«— «бёд«…
MOVE_ITEM_FAILURE_PRIVATE_SHOP	б« нгядя  џнн— гя«д √н ‘нЅ° Ў«бг« √дя  гбя г ћ—«р ‘ќ’н«р.
MUSIC_EMPTY_MUSIC_LIST	»ѕжд гж”нём г—«Ёё….
MUSIC_METIN2_DEFAULT_THEMA	гж”нём Metin2
MUSIC_NOT_SELECT_MUSIC	бг н г «ќ н«— гбЁ гж”нён.
NEEFD_REST	Џбня √жб«р «б«” —«Ќ….
NOT_YET_SUPPORT	б« н г ѕЏге.
OPEN_THE_SPECIAL_ACTION_KIT	 г ≈÷«Ё… %s ≈бм «бЏ«ЎЁ….
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	б« нгядя  ЁЏнб ќѕг… «б—«»Ў… ≈–« бг  яхд Џ÷ж«р Ёне«.
OPTION_PVPMODE_NOT_SUPPORT	б« нгядя «” Џг«б ќн«— б«Џ» ÷ѕ б«Џ».
OPTION_PVPMODE_PROTECT	нћ» √д н’б г” ж«я %d я√ѕдм Ќѕ бян   гяд гд  џнн— дў«г б«Џ» ÷ѕ б«Џ».
OTHER_WORLD_DUNGEON_EXIT_QUESTION	еб  —нѕ «б жёшЁ Џд «бё «бњ
OTHER_WORLD_EXCHANGE_COOLTIME	«б—ћ«Ѕ ≈Џ«ѕ… «бгЌ«жб… б«Ќёр«.
OTHER_WORLD_EXCHANGE_FAIL	бб√”Ё° бг  Ќ’б Џбм √н ‘нЅ Ён «бгё«»б.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	б« нгядя «” ќѕ«г √яЋ— гд «бЌѕ «б√ё’м бЏѕѕ «б»джѕ.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	«” »ѕ«б бе» «бгж 
OTHER_WORLD_GET_DEAD_SOUL	бёѕ  бён  %d √—ж«Ќ «бгж м.
OTHER_WORLD_GET_HELL_GATE_KEY	бёѕ  бён  %d гЁ« нЌ √“гжѕнж”.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	бёѕ  бён  %d —”«∆б ”жѕ«Ѕ.
OTHER_WORLD_GET_REINCARNATION_WATER	бёѕ  бён  %d г«Ѕ «бЌн«….
OTHER_WORLD_GET_WISP	бёѕ  бён  %d бе» «бгж м.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	«ќ — Ќ«—” «б√—÷ «б–н  —нѕ гж«ће е.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	ябг« г«   ‘ќ’н…° н г  ёбнб гƒё  «б√»—«ћ «бгЌ’д… »гёѕ«— ѕёнё… ж«Ќѕ….
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	г«Ѕ «бЌн«… џн— г «Ќ.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	«ё б яб «бжЌж‘ Ён «бжё  «бгЌѕѕ.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	≈е“г Ќ«—” «бўб«г° ѕжд √д   Џ—÷ ббгж .
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	≈е“г √“гжѕнж” ё»б дЁ«– «бжё .
PARTY_ANSWER_TIMEOVER	—хЁ÷  «бѕшЏж….
PARTY_BONUS_ATTACKER	ёнг… «бећжг: +%d	SA
PARTY_BONUS_BERSERKER	”—Џ… «бећжг: +%d	SA
PARTY_BONUS_BUFFER	гѕ… «бге«—…: +%d	SA
PARTY_BONUS_DEFENDER	«бѕЁ«Џ +%d%%	SA
PARTY_BONUS_EXP	дё«Ў ≈÷«Ён… Ён «бќ»—…: %d%%	SA
PARTY_BONUS_SKILL_MASTER	≈” Џ«ѕ… дё«Ў «бЌн«… Џдѕ «бё б +%d%%	SA
PARTY_BONUS_TANKER	дё«Ў Ќн«… ё’жм:+%d	SA
PARTY_BREAK_UP	Ќ–Ё «бгћгжЏ…
PARTY_DO_YOU_ACCEPT	 н—џ» Ён «б«д÷г«г ≈бм «бгћгжЏ….
PARTY_DO_YOU_JOIN	 ѕЏ«я ≈бм «бгћгжЏ…. еб  —нѕ ё»жб «бѕЏж…њ
PARTY_EXP_DISTRIBUTION_MODE	 ё”нг дё«Ў «бќ»—…
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Ќ”» «бг” жм
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	”нЌ’б √Џ÷«Ѕ «бгћгжЏ… –жн «бг” жн«  «бг— ЁЏ… Џбм дё«Ў ќ»—… ≈÷«Ён….
PARTY_EXP_DISTRIBUTION_MODE_PARITY	гх ”«ж
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	нд«б ћгнЏ √Џ÷«Ѕ «бгћгжЏ… дё«Ў «б√”бж» »«б ”«жн.
PARTY_HEAL_ALL_MEMBER	«” —ћ«Џ «бж÷Џ «б√жбн ббћгнЏ
PARTY_INCREASE_AREA_150	«— Ё«Џ гѕм «бгћгжЏ… »Џ«гб 1,5.	SNA
PARTY_INCREASE_AREA_200	«— Ё«Џ гѕм «бгћгжЏ… »Џ«гб 2	SNA
PARTY_LEAVE	гџ«ѕ—… «бгћгжЏ…
PARTY_LONGTIME_BONUS_EXP	Џб«ж… ≈÷«Ён… Џбм дё«Ў «бќ»—… б гѕнѕ гѕ… «ббЏ» «бћг«Џн: +%d%%	SA
PARTY_MATCH_CANCEL	 г ≈бџ«Ѕ Џгбн… «б»ЌЋ Џд гћгжЏ… б[%s].
PARTY_MATCH_FAIL_FULL_MEMBER	б« нгяд бгћгжЏ я ≈÷«Ё… Џ÷ж ћѕнѕ.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	б« нгядя «б ”ћнб бе–« «б»—ћ «бгЌ’д.
PARTY_MATCH_FAIL_LEVEL	г” ж«я г« “«б ÷ЏнЁр«.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	«бЏ÷ж %s б«   жЁ— Ёне «б‘—жЎ «бб«“г….
PARTY_MATCH_FAIL_NONE_MAP_INDEX	н—ћм ≈ќ н«— »—ћ гЌ’д √жб«.
PARTY_MATCH_FAIL_NOT_LEADER	нгяд ЁёЎ бё«∆ѕ «бгћгжЏ… «б ”ћнб.
PARTY_MATCH_FAIL_NO_ITEM	бн” бѕня г« няЁн гд %s.
PARTY_MATCH_SEARCHING	»ЌЋ
PARTY_MATCH_START	бёѕ ёг  » ”ћнб гћгжЏ я бе–« «б»—ћ «бгЌ’д: [%s]!
PARTY_MEMBER_OFFLINE	[џн— г ’б]
PARTY_RECALL_MEMBER	«” ѕЏ«Ѕ  √Џ÷«Ѕ «бгћгжЏ….
PARTY_REGEN_BONUS	дё«Ў Ќн«… ≈÷«Ён…- +  ћѕнѕ дё«Ў «б√”бж»:+%d%%	SA
PARTY_REQUEST_DENIED	бёѕ —хЁ÷ Ўб»я.
PARTY_RK_CATEGORY_CZ_CHICKEN	б«∆Ќ… —шх » «бЌ«—” нж
PARTY_RK_CATEGORY_CZ_COW	б«∆Ќ… —шх » «бЌ«—”  ‘«ж
PARTY_RK_CATEGORY_CZ_DOG	б«∆Ќ… —шх » «бЌ«—” “ж
PARTY_RK_CATEGORY_CZ_DRAGON	б«∆Ќ… —шх » «бЌ«—”  ‘д
PARTY_RK_CATEGORY_CZ_HORSE	б«∆Ќ… —шх » «бЌ«—” жж
PARTY_RK_CATEGORY_CZ_MONKEY	б«∆Ќ… —шх » «бЌ«—” ‘нд
PARTY_RK_CATEGORY_CZ_MOUSE	б«∆Ќ… —шх » «бЌ«—”  ”н
PARTY_RK_CATEGORY_CZ_PIG	б«∆Ќ… —шх » «бЌ«—” е«н
PARTY_RK_CATEGORY_CZ_RABBIT	б«∆Ќ… —шх » «бЌ«—” г«ж
PARTY_RK_CATEGORY_CZ_SHEEP	б«∆Ќ… —шх » «бЌ«—” жн
PARTY_RK_CATEGORY_CZ_SNAKE	б«∆Ќ… —шх » «бЌ«—” ”н
PARTY_RK_CATEGORY_CZ_TIGER	б«∆Ќ… —шх » «бЌ«—” ннд
PARTY_SET_ATTACKER	жўшцЁех яге«ћг.
PARTY_SET_BERSERKER	 Џннде яе«∆ћ.
PARTY_SET_BUFFER	жўшцЁе ягх ’ѕшцн.
PARTY_SET_DEFENDER	жўЁе ягѕ«ЁЏ.
PARTY_SET_NORMAL	≈бџ«Ѕ «б Џѕнб.
PARTY_SET_SKILL_MASTER	 Џнде »’Ё е ”нѕ «бге«—« .
PARTY_SET_TANKER	 Џннд ягЌ«—» Ён «бё «б Џд ё—».
PARTY_SKILL_ATTACKER	ёнг… «бећжг «б√”«”н… ге«ћг +%.0f
PARTY_SKILL_BERSERKER	”—Џ… ећжг «бе«∆ћ +%.0f
PARTY_SKILL_BUFFER	гѕ… ге«—… «бг ’ѕн +%.0f
PARTY_SKILL_DEFENDER	«бѕЁ«Џ ягхѕ«ЁЏ +%.0f%%
PARTY_SKILL_HP_REGEN	 ћѕнѕ дё«Ў «бЌн«… +%.0f%%
PARTY_SKILL_PARTY_AREA	гѕм «бгћгжЏ… +%d%%
PARTY_SKILL_SKILL_MASTER	«” Џ«ѕ… дё«Ў «бЌн«… ”нѕ «бге«—…+: %.0f%%
PARTY_SKILL_SP_REGEN	 ћѕнѕ дё«Ў «б√”бж» +%.0f%%
PARTY_SKILL_TANKER	дё«Ў «бЌн«… «бё’жм ббгё« б Џд ё—» +%.0f.
PARTY_SKILL_WARP	»≈гя«де дѕ«Ѕ √Џ÷«Ѕ «бгћгжЏ….
PASSIVE_ATTR_ADD_FAIL	Ё‘б! бг н г дёб «бЏб«ж«  ≈бм √Ћ— «б—жЌ.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	б« нгяд б√Ћ— «б—жЌ е–« «” нЏ«» «бг“нѕ гд «бЏб«ж« .
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	 Ќ «ћ ≈бм √Ћ— —жЌ бЎ»ё я.
PASSIVE_ATTR_ADD_SUCCESS	дћ«Ќ! бёѕ  г дёб «бЏб«ж«  ≈бм √Ћ— «б—жЌ.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	√Ћ— «б—жЌ г‘Ќжд »«бЁЏб.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	б« нжћѕ √Ћ— —жЌ бн г ‘Ќде.
PASSIVE_ATTR_CHARGE_QUESTION	еб  —нѕ ≈Џ«ѕ… ‘Ќд √Ћ— «б—жЌњ
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	бёѕ  г џЏ«ѕ… ‘Ќд жё  √Ћ— «б—жЌ »«бя«гб.
PASSIVE_ATTR_CONTROL_FAIL_MSG	б« нгядя «бён«г »е–« √Ћд«Ѕ «б ЁЏнб.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	«б—ћ«Ѕ ≈Џ«ѕ… «бгЌ«жб… б«Ќёр«.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	√д  »Ќ«ћ… ≈бм —жЌ гд«”»… бе–«.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	 Ќ «ћ ≈бм √Ћ— —жЌ бЎ»ё я.
PASSIVE_JOB_DESTROY_POPUP	≈–« ёг  »—гн √Ћ— «б—жЌ° Ё”н г  ѕгн—е. еб √д  г √яѕњ
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	»гћ—ѕ «б ЁЏнб° б« нгядя дёб «б√Ћ—.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	”н г Ёёѕ«д «б»джѕ. еб √д  г √яѕњ
PASSIVE_JOB_LEFT_TIME	«бжё  «бг »ён: %s
PASSIVE_JOB_MAX_TIME	«бЌѕ «б√ё’м ббжё  «бг »ён: %s
PASSWORD_TITLE	ябг… ”— «бг” жѕЏ
PET_ATTR_CHANGE_DIALOG_TEXT	еб  жѕ  џнн— ”г«  —Ёнёя «б¬дњ\n ”н г «” еб«я »дѕ "”Ќ— «б—Ёнё".\n нгяд ббЏгбн… √д  Ё‘б.
PET_ATTR_CHANGE_USE	б« нгяд  дЁн– е–« «б√г— «Ћд«Ѕ Џгбн…  Ќжнб ”г«  «б—Ёнё.
PET_ATTR_DETERMINE_TYPE1	джЏ «б—Ёнё 1: √ќ—ё. бн” ёжн« ћѕ«.\nбяд гЏ г—ж— «бжё  нгядя “н«ѕ… ге«—« е.
PET_ATTR_DETERMINE_TYPE2	джЏ «б—Ёнё 2: Ё÷жбн. бн” ёжн« ћѕ«.\n—Ёнё жЁн  “ѕ«ѕ ге«—« е гЏ г—ж— «бжё .
PET_ATTR_DETERMINE_TYPE3	джЏ «б—Ёнё 3: »«”б. ёжн «бм Ќѕ г«.\nгЏ г—ж— «бжё  нгядя “н«ѕ… ге«—« е.
PET_ATTR_DETERMINE_TYPE4	джЏ «б—Ёнё 4: ‘ћ«Џ. ёжн «бм Ќѕ г«.\n—Ёнё жЁн  “ѕ«ѕ ге«—« е гЏ г—ж— «бжё .
PET_ATTR_DETERMINE_TYPE5	джЏ «б—Ёнё 5: г еж—. ёжн.\nбяд гЏ г—ж— «бжё  нгядя “н«ѕ… ге«—« е.
PET_ATTR_DETERMINE_TYPE6	джЏ «б—Ёнё 6: √”Ўж—н. ёжн.\n—Ёнё жЁн  “ѕ«ѕ ге«—« е гЏ г—ж— «бжё .
PET_ATTR_DETERMINE_TYPE7	джЏ «б—Ёнё 7: ќ—«Ён. ёжн ћѕ«.\n”нўе— ёж«е «бЌёнё… гЏ г—ж— «бжё .
PET_ATTR_DETERMINE_TYPE8	джЏ «б—Ёнё 8: »—«ё. ёжн ббџ«н….\n—Ёнё жЁн нгядя «б≈Џ г«ѕ Џбне ѕ«∆г«.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	б« нгядя ≈ЎЏ«г «б—Ёнё √Ћд«Ѕ Ё Ќ д«Ё–… «б’ёб.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	б« нгядя  Ќжнб ”г«  —Ёнё гн .
PET_CAN_NOT_EGG_ITEM_USE	б« нгядя Ё Ќ ёЁ’ «бдёб √Ћд«Ѕ «бг «ћ—…° √ж Џдѕг« няжд гќ“дя √ж г ћ—я гЁ жЌ«д.
PET_CAN_NOT_FEED_SPLIT_ITEM	б« нгядя ж÷Џ √н ‘нЅ гё”жг Ён е–е «бд«Ё–….
PET_CAN_NOT_FEED_TYPE	б« нхгядя ≈ЎЏ«г —Ёнёя »е–е «бЎ—нё…. н—ћм «бгЌ«жб… гд ќб«б «” ќѕ«г Џгбн… √ќ—м.
PET_CAN_NOT_OPEN_EVOL_BUTTON	б ѕ—н» «б—Ёнё ж Ўжн—е ≈бм «бг” жм «б «бн нћ» √д няжд г” ж«е %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	б ѕ—н» «б—Ёнё ж Ўжн—е ≈бм «бг” жм «б «бн нћ» √д  яжд д”»… ќ»— е 100%.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	бёѕ ж’б г” жм —Ёнёя √Џбм г” жм гхгяд.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	б« нгядя Ё Ќ г ћ— ќ«’ ≈–« ёхг  » Ќ÷н— —Ёнёя.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	б ѕ—н» «б—Ёнё ж Ўжн—е ≈бм «бг” жм «б «бн нћ» √д няжд Џхг—е %d нжгр«.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	б« нгядя  Ќ÷н— —Ёнёя° б√д гѕ… «” Џг«бе «д е .
PET_CAN_NOT_USE_BAG	б« нгядя «” Џг«б ёЁ’ «бдёб б√д гѕ… «” Џг«б —Ёнёя «д е .
PET_EMPTY_SKILL_SLOT_USE_ITEM	б« нг бя е–« «б—Ёнё √н ге«—«  бн г ≈Џ«ѕ…  Џннде«.
PET_HATCHING_ACCEPT	еб  —џ» Ён  ”гн… —Ёнёя "%s"њ
PET_HATCHING_MONEY	«бЋгд: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	б« нгядя «б Ё«Џб гЏ √н я«д Ў«бг« √д ёЁ’ «бдёб гЁ жЌ.
PET_INFORMATION_STAGE1	»—н
PET_INFORMATION_STAGE2	»—н жЌ‘н
PET_INFORMATION_STAGE3	»—шн ёжн
PET_INFORMATION_STAGE4	»Ўб
PET_INFO_EXP	«бќ»—… «бЌ«бн…:
PET_INFO_ITEM_EXP	»дѕ EXP «бЌ«бн
PET_INFO_NEXT_EXP	«бќ»—… «бг »ёшн…:
PET_INFO_NEXT_ITEM_EXP	г«  »ём гд »дѕ EXP
PET_MSG_NOT_ENOUGH_MONEY	≈дя б«  гбя г« няЁн гд «бн«дџ.
PET_NAME_CHANGE_ACCEPT	еб  —нѕ  џнн— «”г —Ёнёя ≈бм "%s"њ
PET_NAME_MIN	«б«”г ё’н—.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	б« нжћѕ —Ёнё б«” —ћ«Џ Ќн« е.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	бн” бѕня гж«ѕ я«Ён….
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	√’»Ќ  «бге«—«  гх «Ќ… «б¬д.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	≈Џ«ѕ…  ж“нЏ ге«—… —Ёнёя б« —ћЏ… Ёне.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	еб  —џ» Ён «бг «»Џ…њ
PET_SKILL_LEARN_FAIL_CONDITIONS	—Ёнёя бн” я»н—« »г« няЁн° «ж бг н’б «бм «бг” жм «бгЎбж» »Џѕ. нгяд ЁёЎ бб—Ё«ё «б√»Ў«б  Џбг «бге«—« .
PET_SKILL_LEARN_QUESTION_DLG_MSG	еб  —џ» Ён »ѕЅ  ѕ—н» «б√»Ў«б гЏ "%s"њ
PET_SKILL_TOOLTIP_COOLTIME	«б«” —«Ќ… «б≈ћ»«—н…: %d Ћж«д
PET_SKILL_TOOLTIP_DURATION	«бгѕ…: %d Ћж«д
PET_SKILL_TOOLTIP_FEATHER	нёжг е–« «б—Ёнё » ЁЏнб «бг‘н »ќЁ… »Ё—’… %d%% бгѕ… %.1f Ћ«дн….\n ећжг %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	” Ќ’б Џбм Ё—’… »ёнг… \n %d%% б—ЁЏ дё«Ў «бЌн«… TP »д”»… %d° ж–бя »гћ—ѕ е»жЎе«  Ќ  г” жм 20%%.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	”нх’»Ќ б«Џ»я б« нёе— ж–бя »Ё—’ дћ«Ќ »д”»… %d%% °\n ≈–« г«  ѕдш  дё«Ў Ќн« я  Ќ  10%%. \n гѕ… «бгЁЏжб: %.1f Ћ«дн….	SAA
PET_SKILL_TOOLTIP_REMOVAL	нх»Џѕ Ёж—р« ћгнЏ «бгƒЋ—«  я«б ”гг° ж«б »ЎнЅ \n √ж «бд“нЁ° ж–бя »д”»… дћ«Ќ  ’б ≈бм %d%%°\n ≈–« я«д  ‘ќ’н я ёѕ √’н» .	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	еб  —џ» Ён —ЁЏ  ѕ—н» «б√»Ў«б ≈бм «бг” жм «б «бнњ
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	«б ябЁ…: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	ѕЁ«Џ
PET_TOOLTIP_HP	дё«Ў «бЌн«…
PET_TOOLTIP_LEVEL	г” жм
PET_TOOLTIP_LIFETIME_OVER	«д е  «б’б«Ќн…
